threshold,precision,recall,f1
0.1,0.15142857142857144,1.0,0.2630272952853598
0.15,0.15142857142857144,1.0,0.2630272952853598
0.2,0.15142857142857144,1.0,0.2630272952853598
0.25,0.15142857142857144,1.0,0.2630272952853598
0.3,0.1518624641833811,1.0,0.263681592039801
0.35,0.1536231884057971,1.0,0.2663316582914573
0.4,0.15339233038348082,0.9811320754716981,0.2653061224489796
0.45,0.15479876160990713,0.9433962264150944,0.26595744680851063
0.5,0.17894736842105263,0.6415094339622641,0.27983539094650206
0.55,0.21212121212121213,0.1320754716981132,0.16279069767441862
0.6,0.5,0.11320754716981132,0.18461538461538463
0.65,0.5454545454545454,0.11320754716981132,0.1875
0.7,0.625,0.09433962264150944,0.16393442622950818
0.75,0.75,0.05660377358490566,0.10526315789473684
0.8,1.0,0.05660377358490566,0.10714285714285714
0.85,1.0,0.05660377358490566,0.10714285714285714
0.9,1.0,0.03773584905660377,0.07272727272727272
