timestamp,exp_name,model,cv_auc_mean,cv_auc_std,test_auc,features_count,hyperparams,notes,feature_set_key,random_seed,poly_added,selector,basic_sampler,advanced_sampler,cv_mode
2025-11-06 11:23:03,seed42_advanced_SVC_v1,SVC,0.768277852386548,0.030400452920100435,0.8312686614573407,67,"{'random_state': 42, 'cache_size': 1000, 'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale', 'probability': True}",Advanced features with post-engineering SMOTE,advanced,42,0,none,none,smote,kfold
2025-11-06 13:33:29,seed1337_adv_poly_select_ET_v2,ET,0.7651045781806651,0.03941807679816423,0.8311416047265103,90,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 600, 'max_depth': 18, 'min_samples_split': 2, 'max_features': 0.7}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,1337,66,selectk_90,none,adasyn,kfold
2025-11-06 13:53:06,seed1337_adv_rfecv_dual_LGB_v1,LGB,0.7872520890455673,0.045667068240612466,0.8311416047265103,49,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 48, 'subsample': 0.9, 'colsample_bytree': 0.8, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:45:24,seed1337_advanced_SVC_v1,SVC,0.7682171185160315,0.03046526849484078,0.8310145479956801,67,"{'random_state': 1337, 'cache_size': 1000, 'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale', 'probability': True}",Advanced features with post-engineering SMOTE,advanced,1337,0,none,none,smote,kfold
2025-11-06 12:42:14,seed1337_advanced_ET_v1,ET,0.7959872232480928,0.02796195632204012,0.83101454799568,67,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 14, 'min_samples_split': 2, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,1337,0,none,none,smote,kfold
2025-11-06 15:17:22,seed2024_adv_rfecv_dual_LGB_v1,LGB,0.7906412157499114,0.043542686125405496,0.8308874912648498,49,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 48, 'subsample': 0.9, 'colsample_bytree': 0.8, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 13:33:34,seed1337_adv_poly_select_ET_v3,ET,0.7747899693171433,0.03535372668784066,0.8307286703513119,90,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 800, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,1337,66,selectk_90,none,adasyn,kfold
2025-11-06 14:01:44,seed2024_advanced_RF_v2,RF,0.799483007852573,0.0374897838832689,0.8306969061686043,67,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,2024,0,none,none,smote,kfold
2025-11-06 11:19:48,seed42_advanced_ET_v1,ET,0.7943154179023745,0.034402783950117845,0.8305698494377739,67,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 14, 'min_samples_split': 2, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,42,0,none,none,smote,kfold
2025-11-06 15:18:04,seed2024_adv_rfecv_dual_LGB_v3,LGB,0.7876603319157667,0.04804794675795652,0.8303792643415285,49,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 0.8}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 14:30:32,seed2024_adv_poly_GB_v3,GB,0.7904277699859747,0.0513184614933568,0.8303157359761133,172,"{'random_state': 2024, 'n_estimators': 600, 'learning_rate': 0.02, 'max_depth': 6, 'subsample': 0.9}",Advanced + polynomial bump (top variance features),adv_poly,2024,105,none,none,smote,kfold10
2025-11-06 12:41:50,seed1337_advanced_RF_v2,RF,0.7988111745285658,0.03422234020503888,0.8302522076106982,67,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,1337,0,none,none,smote,kfold
2025-11-06 15:18:29,seed2024_adv_rfecv_dual_LGB_v4,LGB,0.785134869341391,0.052232846156961325,0.8302522076106982,49,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 1000, 'learning_rate': 0.015, 'num_leaves': 120, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 14:56:14,seed2024_adv_poly_select_ET_v2,ET,0.7690904934437544,0.03789949892739485,0.8300616225144527,90,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 600, 'max_depth': 18, 'min_samples_split': 2, 'max_features': 0.7}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,2024,66,selectk_90,none,adasyn,kfold
2025-11-06 12:16:00,seed42_adv_poly_select_GB_v3,GB,0.7831890819390819,0.039358025131250335,0.8300616225144527,90,"{'random_state': 42, 'n_estimators': 600, 'learning_rate': 0.02, 'max_depth': 6, 'subsample': 0.9}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,42,66,selectk_90,none,adasyn,kfold
2025-11-06 15:16:58,seed2024_adv_rfecv_dual_XGB_v4,XGB,0.792694861787253,0.05064251736212135,0.829743980687377,49,"{'random_state': 2024, 'use_label_encoder': False, 'eval_metric': 'auc', 'n_jobs': -1, 'tree_method': 'hist', 'n_estimators': 1000, 'learning_rate': 0.015, 'max_depth': 6, 'subsample': 0.9, 'colsample_bytree': 0.8, 'reg_lambda': 2.5, 'scale_pos_weight': 2.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:13:08,seed42_adv_poly_select_ET_v2,ET,0.7654873631395371,0.04095620626806698,0.8296804523219617,90,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 600, 'max_depth': 18, 'min_samples_split': 2, 'max_features': 0.7}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,42,66,selectk_90,none,adasyn,kfold
2025-11-06 12:42:11,seed1337_advanced_RF_v6,RF,0.7997953924421315,0.03347524729157061,0.8296804523219617,67,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 500, 'max_depth': 18, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",Advanced features with post-engineering SMOTE,advanced,1337,0,none,none,smote,kfold
2025-11-06 11:19:18,seed42_advanced_RF_v1,RF,0.7962860593512766,0.030020173107233934,0.8295533955911314,67,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,42,0,none,none,smote,kfold
2025-11-06 12:13:13,seed42_adv_poly_select_ET_v3,ET,0.770071803946804,0.03932818270715201,0.8294581030430087,90,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 800, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,42,66,selectk_90,none,adasyn,kfold
2025-11-06 12:33:51,seed42_adv_rfecv_dual_LGB_v4,LGB,0.7839519332997594,0.050230014327794566,0.8291086970332254,49,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 1000, 'learning_rate': 0.015, 'num_leaves': 120, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 14:56:20,seed2024_adv_poly_select_ET_v3,ET,0.7740106317497621,0.03570127037145917,0.8289181119369798,90,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 800, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,2024,66,selectk_90,none,adasyn,kfold
2025-11-06 14:02:07,seed2024_advanced_ET_v1,ET,0.8026870255348516,0.020928294159909006,0.8286639984753192,67,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 14, 'min_samples_split': 2, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,2024,0,none,none,smote,kfold
2025-11-06 12:33:31,seed42_adv_rfecv_dual_LGB_v3,LGB,0.7862516717027587,0.048182896096847394,0.8286639984753192,49,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 0.8}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 11:23:11,seed42_advanced_BRF_v1,BRF,0.7989009988249118,0.03429119704233233,0.8286004701099041,67,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 10, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,42,0,none,none,smote,kfold
2025-11-06 13:53:35,seed1337_adv_rfecv_dual_LGB_v3,LGB,0.786207265495309,0.0481119490090778,0.8284734133790738,49,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 800, 'learning_rate': 0.02, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.8, 'reg_alpha': 0.1, 'reg_lambda': 0.8}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:36:36,seed42_adv_rfecv_dual_CAT_v4,CAT,0.7993025059220712,0.04758090425735254,0.8283463566482434,49,"{'random_seed': 42, 'verbose': 0, 'eval_metric': 'AUC', 'iterations': 1000, 'learning_rate': 0.025, 'depth': 8, 'l2_leaf_reg': 3.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 13:56:36,seed1337_adv_rfecv_dual_CAT_v4,CAT,0.7975991783709174,0.046839681424417634,0.8283463566482434,49,"{'random_seed': 1337, 'verbose': 0, 'eval_metric': 'AUC', 'iterations': 1000, 'learning_rate': 0.025, 'depth': 8, 'l2_leaf_reg': 3.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 13:53:19,seed1337_adv_rfecv_dual_LGB_v2,LGB,0.7855334457127935,0.05058335754088605,0.8282828282828283,49,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 600, 'learning_rate': 0.03, 'num_leaves': 64, 'subsample': 0.8, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 0.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:34:39,seed42_adv_rfecv_dual_CAT_v2,CAT,0.799686144218753,0.046041082547226615,0.8282828282828283,49,"{'random_seed': 42, 'verbose': 0, 'eval_metric': 'AUC', 'iterations': 600, 'learning_rate': 0.04, 'depth': 7, 'l2_leaf_reg': 2.0}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 15:22:13,seed2024_adv_rfecv_dual_CAT_v4,CAT,0.799114934810587,0.04538022360340606,0.8282192999174132,49,"{'random_seed': 2024, 'verbose': 0, 'eval_metric': 'AUC', 'iterations': 1000, 'learning_rate': 0.025, 'depth': 8, 'l2_leaf_reg': 3.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:33:00,seed42_adv_rfecv_dual_LGB_v1,LGB,0.7911605953779867,0.041902849807337016,0.8275204878978464,49,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 400, 'learning_rate': 0.05, 'num_leaves': 48, 'subsample': 0.9, 'colsample_bytree': 0.8, 'reg_alpha': 0.0, 'reg_lambda': 0.0}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 14:57:40,seed2024_adv_poly_select_GB_v2,GB,0.7849364986104115,0.04011894623718238,0.8275204878978464,90,"{'random_state': 2024, 'n_estimators': 400, 'learning_rate': 0.03, 'max_depth': 5, 'subsample': 0.9}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,2024,66,selectk_90,none,adasyn,kfold
2025-11-06 13:36:19,seed1337_adv_poly_select_GB_v3,GB,0.7833174976218455,0.038862211910396,0.8273299028016009,90,"{'random_state': 1337, 'n_estimators': 600, 'learning_rate': 0.02, 'max_depth': 6, 'subsample': 0.9}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,1337,66,selectk_90,none,adasyn,kfold
2025-11-06 12:14:27,seed42_adv_poly_select_GB_v2,GB,0.7870986607725738,0.03903466354380348,0.8272028460707705,90,"{'random_state': 42, 'n_estimators': 400, 'learning_rate': 0.03, 'max_depth': 5, 'subsample': 0.9}",Advanced + interaction-only poly + SelectKBest + ADASYN,adv_poly_select,42,66,selectk_90,none,adasyn,kfold
2025-11-06 15:17:41,seed2024_adv_rfecv_dual_LGB_v2,LGB,0.7869603291179379,0.04874806312597967,0.8270757893399403,49,"{'random_state': 2024, 'n_jobs': -1, 'n_estimators': 600, 'learning_rate': 0.03, 'num_leaves': 64, 'subsample': 0.8, 'colsample_bytree': 0.9, 'reg_alpha': 0.0, 'reg_lambda': 0.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 13:55:32,seed1337_adv_rfecv_dual_CAT_v3,CAT,0.8009865680898288,0.046990814369965855,0.8270757893399402,49,"{'random_seed': 1337, 'verbose': 0, 'eval_metric': 'AUC', 'iterations': 800, 'learning_rate': 0.03, 'depth': 8, 'l2_leaf_reg': 2.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:35:31,seed42_adv_rfecv_dual_CAT_v3,CAT,0.7967669688321862,0.046557170763789874,0.8270122609745252,49,"{'random_seed': 42, 'verbose': 0, 'eval_metric': 'AUC', 'iterations': 800, 'learning_rate': 0.03, 'depth': 8, 'l2_leaf_reg': 2.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:45:31,seed1337_advanced_BRF_v1,BRF,0.7930226064573891,0.0353896606281677,0.8265040340512039,67,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 10, 'max_features': 'sqrt'}",Advanced features with post-engineering SMOTE,advanced,1337,0,none,none,smote,kfold
2025-11-06 15:20:44,seed2024_adv_rfecv_dual_CAT_v3,CAT,0.7964971252308207,0.0471180044409672,0.8265040340512039,49,"{'random_seed': 2024, 'verbose': 0, 'eval_metric': 'AUC', 'iterations': 800, 'learning_rate': 0.03, 'depth': 8, 'l2_leaf_reg': 2.5}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 13:49:28,seed1337_adv_rfecv_dual_HGB_v2,HGB,0.790048248559118,0.04661817174076212,0.8263134489549584,49,"{'random_state': 1337, 'learning_rate': 0.03, 'max_depth': 4, 'max_iter': 500, 'l2_regularization': 0.1}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 15:13:53,seed2024_adv_rfecv_dual_HGB_v2,HGB,0.790048248559118,0.04661817174076212,0.8263134489549584,49,"{'random_state': 2024, 'learning_rate': 0.03, 'max_depth': 4, 'max_iter': 500, 'l2_regularization': 0.1}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:29:24,seed42_adv_rfecv_dual_HGB_v2,HGB,0.790048248559118,0.04661817174076212,0.8263134489549584,49,"{'random_state': 42, 'learning_rate': 0.03, 'max_depth': 4, 'max_iter': 500, 'l2_regularization': 0.1}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 15:14:19,seed2024_adv_rfecv_dual_HGB_v3,HGB,0.7886978904370208,0.04558975587083272,0.8261228638587129,49,"{'random_state': 2024, 'learning_rate': 0.02, 'max_depth': 6, 'max_iter': 800, 'l2_regularization': 0.2}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,2024,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 13:49:58,seed1337_adv_rfecv_dual_HGB_v3,HGB,0.7886978904370208,0.04558975587083272,0.8261228638587129,49,"{'random_state': 1337, 'learning_rate': 0.02, 'max_depth': 6, 'max_iter': 800, 'l2_regularization': 0.2}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 13:53:54,seed1337_adv_rfecv_dual_LGB_v4,LGB,0.783694754537146,0.05123064735653896,0.8261228638587129,49,"{'random_state': 1337, 'n_jobs': -1, 'n_estimators': 1000, 'learning_rate': 0.015, 'num_leaves': 120, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_alpha': 0.1, 'reg_lambda': 1.0}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 12:29:52,seed42_adv_rfecv_dual_HGB_v3,HGB,0.7886978904370208,0.04558975587083272,0.8261228638587129,49,"{'random_state': 42, 'learning_rate': 0.02, 'max_depth': 6, 'max_iter': 800, 'l2_regularization': 0.2}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,42,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
2025-11-06 11:13:49,seed42_basic_RF_v2,RF,0.7909899324790628,0.033042168990501684,0.8256146369353917,48,"{'random_state': 42, 'n_jobs': -1, 'n_estimators': 400, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",Basic preprocessing with per-fold SMOTE,basic,42,0,none,smote,none,kfold
2025-11-06 13:45:59,seed1337_adv_rfecv_dual_GB_v1,GB,0.7853873430884301,0.0443152006539558,0.8250428816466552,49,"{'random_state': 1337, 'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 4, 'subsample': 0.8}",Advanced + RFECV + dual-stage resampling (SMOTE -> SMOTEENN),adv_rfecv_dual,1337,0,rfecv_step2_min40,smote,smoteenn,repeated_5x2
