threshold,precision,recall,f1
0.1,0.21658986175115208,0.8867924528301887,0.34814814814814815
0.15,0.23195876288659795,0.8490566037735849,0.3643724696356275
0.2,0.2682926829268293,0.8301886792452831,0.4055299539170507
0.25,0.2986111111111111,0.8113207547169812,0.4365482233502538
0.3,0.32061068702290074,0.7924528301886793,0.45652173913043476
0.35,0.3482142857142857,0.7358490566037735,0.4727272727272727
0.4,0.38235294117647056,0.7358490566037735,0.5032258064516129
0.45,0.4148936170212766,0.7358490566037735,0.5306122448979592
0.5,0.43037974683544306,0.6415094339622641,0.5151515151515151
0.55,0.4594594594594595,0.6415094339622641,0.5354330708661418
0.6,0.4857142857142857,0.6415094339622641,0.5528455284552846
0.65,0.5076923076923077,0.6226415094339622,0.559322033898305
0.7,0.5892857142857143,0.6226415094339622,0.6055045871559633
0.75,0.64,0.6037735849056604,0.6213592233009708
0.8,0.7,0.5283018867924528,0.6021505376344086
0.85,0.7352941176470589,0.4716981132075472,0.5747126436781609
0.9,0.8,0.37735849056603776,0.5128205128205128
