threshold,precision,recall,f1
0.1,0.16455696202531644,0.9811320754716981,0.28184281842818426
0.15,0.17346938775510204,0.9622641509433962,0.29394812680115273
0.2,0.18181818181818182,0.9433962264150944,0.3048780487804878
0.25,0.1891891891891892,0.9245283018867925,0.3141025641025641
0.3,0.20253164556962025,0.9056603773584906,0.3310344827586207
0.35,0.21171171171171171,0.8867924528301887,0.3418181818181818
0.4,0.22613065326633167,0.8490566037735849,0.35714285714285715
0.45,0.25287356321839083,0.8301886792452831,0.3876651982378855
0.5,0.2645161290322581,0.7735849056603774,0.3942307692307692
0.55,0.291044776119403,0.7358490566037735,0.41711229946524064
0.6,0.2975206611570248,0.6792452830188679,0.41379310344827586
0.65,0.3333333333333333,0.6226415094339622,0.4342105263157895
0.7,0.3548387096774194,0.6226415094339622,0.4520547945205479
0.75,0.379746835443038,0.5660377358490566,0.45454545454545453
0.8,0.4153846153846154,0.5094339622641509,0.4576271186440678
0.85,0.4444444444444444,0.4528301886792453,0.4485981308411215
0.9,0.5,0.37735849056603776,0.43010752688172044
