scenario,description,selection_focus,threshold,test_auc,test_pr_auc,precision,recall,f1,cv_mean,cv_std,cv_mean_minus_std,artifact_base
lr_score_chaser,Advanced feature stack tuned to chase leaderboard AUC.,holdout_auc,0.5,0.891,0.6971,0.4175,0.8113,0.5513,0.7952,0.0393,0.7559,artifacts\lr_score_chaser
lr_validation_guardian,Lean features with SMOTE and heavier regularisation for validation stability.,validation_consistency,0.5,0.889,0.6857,0.4074,0.8302,0.5466,0.8232,0.0384,0.7848,artifacts\lr_validation_guardian
