threshold,precision,recall,f1
0.1,0.24019607843137256,0.9245283018867925,0.38132295719844356
0.15,0.27167630057803466,0.8867924528301887,0.415929203539823
0.2,0.2857142857142857,0.8301886792452831,0.4251207729468599
0.25,0.3283582089552239,0.8301886792452831,0.47058823529411764
0.3,0.3467741935483871,0.8113207547169812,0.4858757062146893
0.35,0.3739130434782609,0.8113207547169812,0.5119047619047619
0.4,0.3883495145631068,0.7547169811320755,0.5128205128205128
0.45,0.4175824175824176,0.7169811320754716,0.5277777777777778
0.5,0.4235294117647059,0.6792452830188679,0.5217391304347826
0.55,0.4430379746835443,0.660377358490566,0.5303030303030303
0.6,0.4647887323943662,0.6226415094339622,0.532258064516129
0.65,0.47761194029850745,0.6037735849056604,0.5333333333333333
0.7,0.5166666666666667,0.5849056603773585,0.5486725663716814
0.75,0.5686274509803921,0.5471698113207547,0.5576923076923077
0.8,0.6341463414634146,0.49056603773584906,0.5531914893617021
0.85,0.6842105263157895,0.49056603773584906,0.5714285714285714
0.9,0.7333333333333333,0.41509433962264153,0.5301204819277109
