threshold,precision,recall,f1
0.1,0.22566371681415928,0.9622641509433962,0.3655913978494624
0.15,0.2463768115942029,0.9622641509433962,0.3923076923076923
0.2,0.2712765957446808,0.9622641509433962,0.42323651452282157
0.25,0.28901734104046245,0.9433962264150944,0.4424778761061947
0.3,0.3184713375796178,0.9433962264150944,0.47619047619047616
0.35,0.34532374100719426,0.9056603773584906,0.5
0.4,0.35714285714285715,0.8490566037735849,0.5027932960893855
0.45,0.37719298245614036,0.8113207547169812,0.5149700598802395
0.5,0.40594059405940597,0.7735849056603774,0.5324675324675324
0.55,0.425531914893617,0.7547169811320755,0.54421768707483
0.6,0.4878048780487805,0.7547169811320755,0.5925925925925926
0.65,0.5,0.6981132075471698,0.5826771653543307
0.7,0.5074626865671642,0.6415094339622641,0.5666666666666667
0.75,0.5666666666666667,0.6415094339622641,0.6017699115044248
0.8,0.6086956521739131,0.5283018867924528,0.5656565656565656
0.85,0.6756756756756757,0.4716981132075472,0.5555555555555556
0.9,0.6785714285714286,0.3584905660377358,0.4691358024691358
