seed,fold,auc
42,0,0.4999227799227799
42,1,0.5667953667953668
42,2,0.7326388888888888
42,3,0.6280193236714976
42,4,0.5069444444444444
2025,0,0.8007722007722008
2025,1,0.7108880308880309
2025,2,0.6865942028985507
2025,3,0.6323973429951691
2025,4,0.533816425120773
