mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_clf__solver,param_clf__l1_ratio,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,sampler
0.02835984230041504,0.002191691799272671,0.02845420837402344,0.0019317897973449465,0.3,,l2,lbfgs,,"{'clf__C': 0.3, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.43636363636363634,0.5818181818181818,0.631578947368421,0.5517241379310345,0.48148148148148145,0.536593276992551,0.06982807946812779,12,0.6,0.8,0.8571428571428571,0.7272727272727273,0.7222222222222222,0.7413275613275614,0.0864773608963526,5,0.34285714285714286,0.45714285714285713,0.5,0.4444444444444444,0.3611111111111111,0.4211111111111111,0.05964875774759642,20,0.7667953667953668,0.8662548262548262,0.8431461352657006,0.8345410628019324,0.8416364734299517,0.8304747729095554,0.033576660573686565,1,none
0.029467296600341798,0.002876273925635304,0.028429031372070312,0.002133742250005657,0.3,balanced,l2,lbfgs,,"{'clf__C': 0.3, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.3893805309734513,0.5806451612903226,0.5242718446601942,0.4731182795698925,0.5094339622641509,0.4953699557516023,0.06329908593185149,18,0.28205128205128205,0.46551724137931033,0.40298507462686567,0.38596491228070173,0.38571428571428573,0.3844465592104891,0.05899972435902789,20,0.6285714285714286,0.7714285714285715,0.75,0.6111111111111112,0.75,0.7022222222222222,0.06794207068161759,4,0.757992277992278,0.8644015444015444,0.8301630434782608,0.8223128019323671,0.8365036231884059,0.8222746581985712,0.03513286344177452,15,none
0.02870521545410156,0.0022620227305808326,0.026126384735107422,0.002424209850213937,1.0,,l2,lbfgs,,"{'clf__C': 1.0, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.43636363636363634,0.6101694915254238,0.6557377049180327,0.5901639344262295,0.4727272727272727,0.553032407992119,0.08396700734200702,8,0.6,0.75,0.8,0.72,0.6842105263157895,0.7108421052631579,0.06717373183996465,10,0.34285714285714286,0.5142857142857142,0.5555555555555556,0.5,0.3611111111111111,0.45476190476190476,0.08607215123336368,15,0.7684942084942085,0.865019305019305,0.8423913043478262,0.8309178743961353,0.8322765700483091,0.8278198524611569,0.03207839953727678,9,none
0.03271050453186035,0.0027032804482364867,0.03126220703125,0.001029012934601228,1.0,balanced,l2,lbfgs,,"{'clf__C': 1.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.4144144144144144,0.6041666666666666,0.52,0.4782608695652174,0.4807692307692308,0.4995222362831059,0.062316703845588184,17,0.3026315789473684,0.47540983606557374,0.40625,0.39285714285714285,0.36764705882352944,0.3889591233387229,0.05602596490450302,17,0.6571428571428571,0.8285714285714286,0.7222222222222222,0.6111111111111112,0.6944444444444444,0.7026984126984127,0.07315308019386015,1,0.7589189189189189,0.8628571428571429,0.833786231884058,0.8170289855072463,0.8259359903381642,0.8197054539011059,0.03406265541868758,18,none
0.03490214347839356,0.005373982112530653,0.029369497299194337,0.0032226186617427877,3.0,,l2,lbfgs,,"{'clf__C': 3.0, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.4827586206896552,0.5901639344262295,0.6451612903225806,0.6129032258064516,0.5,0.5661974142489834,0.06377342796353697,4,0.6086956521739131,0.6923076923076923,0.7692307692307693,0.7307692307692307,0.7,0.7002006688963212,0.05316972664959761,12,0.4,0.5142857142857142,0.5555555555555556,0.5277777777777778,0.3888888888888889,0.4773015873015873,0.0690386784943331,11,0.7657142857142857,0.862857142857143,0.8452596618357489,0.8283514492753624,0.826237922705314,0.8256840924775707,0.03276839280054088,11,none
0.03524813652038574,0.0018300614829811007,0.02735285758972168,0.0013690142080989081,3.0,balanced,l2,lbfgs,,"{'clf__C': 3.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.4144144144144144,0.5957446808510638,0.52,0.46808510638297873,0.47058823529411764,0.4937664873885149,0.060961078257543835,21,0.3026315789473684,0.4745762711864407,0.40625,0.3793103448275862,0.36363636363636365,0.3852809117195518,0.05612202816017632,18,0.6571428571428571,0.8,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.6914285714285715,0.06476968518467295,8,0.7583011583011583,0.8619305019305019,0.8362016908212561,0.813707729468599,0.8208031400966183,0.8181888441236268,0.03420890269798975,19,none
0.022597646713256835,0.001246673433763911,0.02640957832336426,0.0022718816174149723,0.3,,l1,liblinear,,"{'clf__C': 0.3, 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4444444444444444,0.6037735849056604,0.631578947368421,0.5263157894736842,0.4528301886792453,0.5317885909742911,0.07620148996292055,13,0.631578947368421,0.8888888888888888,0.8571428571428571,0.7142857142857143,0.7058823529411765,0.7595557521254116,0.09752802263203432,2,0.34285714285714286,0.45714285714285713,0.5,0.4166666666666667,0.3333333333333333,0.41000000000000003,0.06442489342966766,22,0.7681853281853281,0.8622393822393822,0.8357487922705314,0.8278985507246377,0.8458635265700484,0.8279871159979855,0.0320290152379683,6,none
0.02041516304016113,0.0009957828016118192,0.027733278274536134,0.0019164622098322315,0.3,,l2,liblinear,,"{'clf__C': 0.3, 'clf__class_weight': None, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.43636363636363634,0.5818181818181818,0.6551724137931034,0.5517241379310345,0.48148148148148145,0.5413119702774875,0.07656005118475302,10,0.6,0.8,0.8636363636363636,0.7272727272727273,0.7222222222222222,0.7426262626262627,0.08823774361360683,4,0.34285714285714286,0.45714285714285713,0.5277777777777778,0.4444444444444444,0.3611111111111111,0.42666666666666664,0.06751277139054095,18,0.7674131274131274,0.865945945945946,0.842542270531401,0.8346920289855072,0.8401268115942029,0.8301440368940369,0.033139100519381175,2,none
0.024958038330078126,0.0013151053209605758,0.027530527114868163,0.001492787976313784,0.3,balanced,l1,liblinear,,"{'clf__C': 0.3, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.39285714285714285,0.6067415730337079,0.5416666666666666,0.46938775510204084,0.49523809523809526,0.5011782465795307,0.0715014829373481,15,0.2857142857142857,0.5,0.43333333333333335,0.3709677419354839,0.37681159420289856,0.3933653910372003,0.07117979993256013,14,0.6285714285714286,0.7714285714285715,0.7222222222222222,0.6388888888888888,0.7222222222222222,0.6966666666666667,0.05453576496083967,7,0.7595366795366796,0.8696525096525096,0.8325785024154588,0.8245772946859904,0.8358997584541062,0.824448948948949,0.035928238952244784,14,none
0.02237410545349121,0.0009497653170389192,0.03261027336120605,0.007956033715522401,0.3,balanced,l2,liblinear,,"{'clf__C': 0.3, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.38596491228070173,0.5806451612903226,0.5242718446601942,0.4731182795698925,0.5094339622641509,0.4946868320130524,0.06444725514852445,19,0.27848101265822783,0.46551724137931033,0.40298507462686567,0.38596491228070173,0.38571428571428573,0.3837325053318782,0.06024316107095837,21,0.6285714285714286,0.7714285714285715,0.75,0.6111111111111112,0.75,0.7022222222222222,0.06794207068161759,4,0.757992277992278,0.8645559845559845,0.8301630434782609,0.8221618357487923,0.8358997584541064,0.8221545800458843,0.035121917880190284,16,none
