seed,fold,auc
42,0,0.6443243243243243
42,1,0.8074131274131274
42,2,0.6913496376811594
42,3,0.7531702898550725
42,4,0.8028381642512077
2025,0,0.7221621621621621
2025,1,0.6912741312741312
2025,2,0.6369263285024154
2025,3,0.6897644927536233
2025,4,0.7714371980676328
