threshold,precision,recall,f1
0.1,0.22566371681415928,0.9622641509433962,0.3655913978494624
0.15,0.26153846153846155,0.9622641509433962,0.4112903225806452
0.2,0.2914285714285714,0.9622641509433962,0.4473684210526316
0.25,0.3006134969325153,0.9245283018867925,0.4537037037037037
0.3,0.304635761589404,0.8679245283018868,0.45098039215686275
0.35,0.32142857142857145,0.8490566037735849,0.46632124352331605
0.4,0.34615384615384615,0.8490566037735849,0.4918032786885246
0.45,0.3706896551724138,0.8113207547169812,0.5088757396449705
0.5,0.40186915887850466,0.8113207547169812,0.5375
0.55,0.42574257425742573,0.8113207547169812,0.5584415584415584
0.6,0.44680851063829785,0.7924528301886793,0.5714285714285714
0.65,0.49382716049382713,0.7547169811320755,0.5970149253731343
0.7,0.5405405405405406,0.7547169811320755,0.6299212598425197
0.75,0.578125,0.6981132075471698,0.6324786324786325
0.8,0.6,0.6226415094339622,0.6111111111111112
0.85,0.6590909090909091,0.5471698113207547,0.5979381443298969
0.9,0.696969696969697,0.4339622641509434,0.5348837209302325
