threshold,precision,recall,f1
0.1,0.22790697674418606,0.9245283018867925,0.3656716417910448
0.15,0.25396825396825395,0.9056603773584906,0.39669421487603307
0.2,0.28402366863905326,0.9056603773584906,0.43243243243243246
0.25,0.29577464788732394,0.7924528301886793,0.4307692307692308
0.3,0.3181818181818182,0.7924528301886793,0.4540540540540541
0.35,0.34710743801652894,0.7924528301886793,0.4827586206896552
0.4,0.37037037037037035,0.7547169811320755,0.4968944099378882
0.45,0.3894736842105263,0.6981132075471698,0.5
0.5,0.4186046511627907,0.6792452830188679,0.5179856115107914
0.55,0.4430379746835443,0.660377358490566,0.5303030303030303
0.6,0.4533333333333333,0.6415094339622641,0.53125
0.65,0.47761194029850745,0.6037735849056604,0.5333333333333333
0.7,0.5,0.5471698113207547,0.5225225225225225
0.75,0.5918367346938775,0.5471698113207547,0.5686274509803921
0.8,0.6428571428571429,0.5094339622641509,0.5684210526315789
0.85,0.7142857142857143,0.4716981132075472,0.5681818181818182
0.9,0.7931034482758621,0.4339622641509434,0.5609756097560976
