threshold,precision,recall,f1
0.1,0.2109704641350211,0.9433962264150944,0.3448275862068966
0.15,0.22072072072072071,0.9245283018867925,0.3563636363636364
0.2,0.23529411764705882,0.9056603773584906,0.3735408560311284
0.25,0.24479166666666666,0.8867924528301887,0.3836734693877551
0.3,0.2554347826086957,0.8867924528301887,0.39662447257383965
0.35,0.27011494252873564,0.8867924528301887,0.41409691629955947
0.4,0.27647058823529413,0.8867924528301887,0.42152466367713004
0.45,0.2822085889570552,0.8679245283018868,0.42592592592592593
0.5,0.2893081761006289,0.8679245283018868,0.4339622641509434
0.55,0.2922077922077922,0.8490566037735849,0.43478260869565216
0.6,0.29931972789115646,0.8301886792452831,0.44
0.65,0.3055555555555556,0.8301886792452831,0.4467005076142132
0.7,0.31851851851851853,0.8113207547169812,0.4574468085106383
0.75,0.3412698412698413,0.8113207547169812,0.48044692737430167
0.8,0.35294117647058826,0.7924528301886793,0.4883720930232558
0.85,0.38317757009345793,0.7735849056603774,0.5125
0.9,0.43373493975903615,0.6792452830188679,0.5294117647058824
