threshold,precision,recall,f1
0.1,0.21818181818181817,0.9056603773584906,0.3516483516483517
0.15,0.22885572139303484,0.8679245283018868,0.36220472440944884
0.2,0.25862068965517243,0.8490566037735849,0.3964757709251101
0.25,0.27388535031847133,0.8113207547169812,0.4095238095238095
0.3,0.3111111111111111,0.7924528301886793,0.44680851063829785
0.35,0.3277310924369748,0.7358490566037735,0.45348837209302323
0.4,0.3611111111111111,0.7358490566037735,0.484472049689441
0.45,0.38613861386138615,0.7358490566037735,0.5064935064935064
0.5,0.43023255813953487,0.6981132075471698,0.5323741007194245
0.55,0.45454545454545453,0.660377358490566,0.5384615384615384
0.6,0.4657534246575342,0.6415094339622641,0.5396825396825397
0.65,0.5238095238095238,0.6226415094339622,0.5689655172413793
0.7,0.5892857142857143,0.6226415094339622,0.6055045871559633
0.75,0.6458333333333334,0.5849056603773585,0.6138613861386139
0.8,0.7073170731707317,0.5471698113207547,0.6170212765957447
0.85,0.7666666666666667,0.4339622641509434,0.5542168674698795
0.9,0.8076923076923077,0.39622641509433965,0.5316455696202531
