scenario,description,selection_focus,priority,pipeline,sampler,logistic,threshold_key,cv_signature,soft_voting,threshold,test_auc,test_pr_auc,precision,recall,f1,cv_mean,cv_std,cv_mean_minus_std,auc_delta,leaderboard_score,production_score,artifact_base
lr_score_chaser,Legacy advanced stack tuned purely for leaderboard AUC.,holdout_auc,10.0,classic_advanced,smote_only,very_high_l2,default,kfold_5,mean,0.5,0.8913,0.7033,0.4175,0.8113,0.5513,0.7956,0.039,0.7565,0.011599999999999944,0.7893,0.6017800000000001,artifacts\lr_score_chaser
lr_prod_auc_guardian,Full-stack feature soup + SMOTETomek with balanced L2 for production stability.,validation_consistency,8.0,full_stack,smote_tomek,balanced_l2,max_f1,kfold_5,median,0.725,0.8492,0.6222,0.6667,0.4528,0.5393,0.7551,0.0495,0.7056,-0.030500000000000083,0.75623,0.55566,artifacts\lr_prod_auc_guardian
lr_prod_precision_guardian,Quantile + bin stack focused on recall floor for operations alerts.,production_precision_recall,7.5,quantile_bins,smote_clean,saga_l1,recall_guard,kfold_5,median,0.595,0.8549,0.5674,0.3381,0.8868,0.4896,0.756,0.027,0.7289,-0.024800000000000044,0.7453099999999999,0.5878800000000001,artifacts\lr_prod_precision_guardian
