threshold,precision,recall,f1
0.1,0.23557692307692307,0.9245283018867925,0.37547892720306514
0.15,0.2696629213483146,0.9056603773584906,0.4155844155844156
0.2,0.29375,0.8867924528301887,0.4413145539906103
0.25,0.30714285714285716,0.8113207547169812,0.44559585492227977
0.3,0.3359375,0.8113207547169812,0.47513812154696133
0.35,0.35344827586206895,0.7735849056603774,0.48520710059171596
0.4,0.38461538461538464,0.7547169811320755,0.5095541401273885
0.45,0.4065934065934066,0.6981132075471698,0.5138888888888888
0.5,0.43373493975903615,0.6792452830188679,0.5294117647058824
0.55,0.4430379746835443,0.660377358490566,0.5303030303030303
0.6,0.4647887323943662,0.6226415094339622,0.532258064516129
0.65,0.49230769230769234,0.6037735849056604,0.5423728813559322
0.7,0.5,0.5471698113207547,0.5225225225225225
0.75,0.5686274509803921,0.5471698113207547,0.5576923076923077
0.8,0.6341463414634146,0.49056603773584906,0.5531914893617021
0.85,0.6944444444444444,0.4716981132075472,0.5617977528089888
0.9,0.7586206896551724,0.41509433962264153,0.5365853658536586
