scenario,scenario_title,split,threshold,auc,ap,accuracy,precision,recall,f1,support,positive_rate
lr_score_chaser,Score Chaser (AUC-first),train,0.5,0.8760937385751542,0.6888086493418466,0.7972727272727272,0.43034055727554177,0.7808988764044944,0.5548902195608783,1100,0.1618181818181818
lr_score_chaser,Score Chaser (AUC-first),test,0.5,0.8848866018677339,0.6739513349702972,0.7914285714285715,0.4056603773584906,0.8113207547169812,0.5408805031446541,350,0.15142857142857144
lr_validation_guardian,Validation Guardian (stability-first),train,0.5,0.8719686075702552,0.69370250316556,0.8,0.4351851851851852,0.7921348314606742,0.5617529880478087,1100,0.1618181818181818
lr_validation_guardian,Validation Guardian (stability-first),test,0.5,0.8791690489803696,0.6667567339522444,0.7885714285714286,0.4,0.7924528301886793,0.5316455696202531,350,0.15142857142857144
