timestamp,exp_name,model,cv_auc_mean,cv_auc_std,test_auc,features_count,hyperparams,notes,feature_pipeline,family,feature_description,random_seed,cv_mode,sampler_summary,encoder,scaler,manual_features,poly_added,selector,basic_sampler,advanced_sampler
2025-11-07 15:24:13,seed2025_neural_standard_MLP_v6,MLP,0.7838317945274467,0.027124629276310812,0.8533130042564006,48,"{'random_state': 2025, 'hidden_layer_sizes': (256, 128, 64), 'alpha': 0.00015, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,2025,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 15:23:49,seed2025_neural_standard_MLP_v4,MLP,0.7846001436218828,0.027716845433690872,0.8524871355060034,48,"{'random_state': 2025, 'hidden_layer_sizes': (256, 128), 'alpha': 0.0002, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,2025,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 15:23:45,seed2025_neural_standard_MLP_v3,MLP,0.7873033219554958,0.018664780004090633,0.8517247951210216,48,"{'random_state': 2025, 'hidden_layer_sizes': (512, 256), 'alpha': 0.0001, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,2025,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 15:24:50,seed2025_neural_minmax_MLP_v4,MLP,0.7674018848040587,0.02544316000682041,0.8517247951210215,48,"{'random_state': 2025, 'hidden_layer_sizes': (256, 128), 'alpha': 0.0002, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,2025,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 14:46:30,seed42_neural_raw_MLP_v1,MLP,0.8121950413146065,0.02165036295978712,0.8505177561781335,48,"{'random_state': 42, 'hidden_layer_sizes': (512,), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler (no sampling),neural_raw,neural,One-hot + StandardScaler (no sampling),42,kfold,none,onehot,standard,none,0,none,none,none
2025-11-07 14:44:41,seed42_neural_standard_MLP_v1,MLP,0.7780766371962025,0.02369659509069983,0.8481036782923576,48,"{'random_state': 42, 'hidden_layer_sizes': (512,), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,42,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 14:46:28,seed42_neural_minmax_MLP_v6,MLP,0.7461156529200008,0.007271367212354553,0.8472778095419605,48,"{'random_state': 42, 'hidden_layer_sizes': (256, 128, 64), 'alpha': 0.00015, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,42,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 15:23:33,seed2025_neural_standard_MLP_v2,MLP,0.7876558530580269,0.026597946317926103,0.8471507528111302,48,"{'random_state': 2025, 'hidden_layer_sizes': (256,), 'alpha': 0.0004, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,2025,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 14:44:58,seed42_neural_standard_MLP_v3,MLP,0.7852574468878816,0.027422773542222882,0.8448637316561844,48,"{'random_state': 42, 'hidden_layer_sizes': (512, 256), 'alpha': 0.0001, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,42,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 14:46:36,seed42_neural_raw_MLP_v3,MLP,0.8078956689608864,0.017685025447155125,0.8447366749253542,48,"{'random_state': 42, 'hidden_layer_sizes': (512, 256), 'alpha': 0.0001, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + StandardScaler (no sampling),neural_raw,neural,One-hot + StandardScaler (no sampling),42,kfold,none,onehot,standard,none,0,none,none,none
2025-11-07 15:25:18,seed2025_neural_minmax_MLP_v6,MLP,0.7583789705854924,0.025748168527793942,0.8446096181945238,48,"{'random_state': 2025, 'hidden_layer_sizes': (256, 128, 64), 'alpha': 0.00015, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,2025,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 14:45:39,seed42_neural_minmax_MLP_v2,MLP,0.7865318765970939,0.01951540873668108,0.8420684835779175,48,"{'random_state': 42, 'hidden_layer_sizes': (256,), 'alpha': 0.0004, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,42,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 14:45:18,seed42_neural_standard_MLP_v5,MLP,0.7760054324510846,0.026003909429223548,0.8420049552125024,48,"{'random_state': 42, 'hidden_layer_sizes': (512, 256, 128), 'alpha': 7e-05, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,42,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 15:25:41,seed2025_neural_raw_MLP_v6,MLP,0.8085345904911122,0.017849862030675342,0.8419414268470872,48,"{'random_state': 2025, 'hidden_layer_sizes': (256, 128, 64), 'alpha': 0.00015, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler (no sampling),neural_raw,neural,One-hot + StandardScaler (no sampling),2025,kfold,none,onehot,standard,none,0,none,none,none
2025-11-07 15:25:30,seed2025_neural_raw_MLP_v4,MLP,0.7999468878816705,0.012066841134603911,0.83901912203799,48,"{'random_state': 2025, 'hidden_layer_sizes': (256, 128), 'alpha': 0.0002, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + StandardScaler (no sampling),neural_raw,neural,One-hot + StandardScaler (no sampling),2025,kfold,none,onehot,standard,none,0,none,none,none
2025-11-07 15:24:22,seed2025_neural_minmax_MLP_v1,MLP,0.7830280109301849,0.019793534184511373,0.8388285369417445,48,"{'random_state': 2025, 'hidden_layer_sizes': (512,), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,2025,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 15:24:44,seed2025_neural_minmax_MLP_v3,MLP,0.7767963926659578,0.019076109940697007,0.8388285369417444,48,"{'random_state': 2025, 'hidden_layer_sizes': (512, 256), 'alpha': 0.0001, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,2025,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 15:24:29,seed2025_neural_minmax_MLP_v2,MLP,0.7898492809579766,0.01515285334622275,0.836223873959723,48,"{'random_state': 2025, 'hidden_layer_sizes': (256,), 'alpha': 0.0004, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,2025,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 14:45:32,seed42_neural_minmax_MLP_v1,MLP,0.7839129642064424,0.014692957741596733,0.8348897782860047,48,"{'random_state': 42, 'hidden_layer_sizes': (512,), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,42,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 14:46:02,seed42_neural_minmax_MLP_v4,MLP,0.763549400332009,0.013157141968021499,0.8337462677085319,48,"{'random_state': 42, 'hidden_layer_sizes': (256, 128), 'alpha': 0.0002, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,42,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 14:45:56,seed42_neural_minmax_MLP_v3,MLP,0.7789562885867234,0.020983373694287096,0.8250428816466552,48,"{'random_state': 42, 'hidden_layer_sizes': (512, 256), 'alpha': 0.0001, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,42,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 14:46:19,seed42_neural_minmax_MLP_v5,MLP,0.7735541006845355,0.020988345262168584,0.8190076869322153,48,"{'random_state': 42, 'hidden_layer_sizes': (512, 256, 128), 'alpha': 7e-05, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,42,kfold,smote,onehot,minmax,none,0,none,smote,none
2025-11-07 15:25:10,seed2025_neural_minmax_MLP_v5,MLP,0.7633882080838603,0.028615232768135615,0.8132901340448511,48,"{'random_state': 2025, 'hidden_layer_sizes': (512, 256, 128), 'alpha': 7e-05, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + MinMaxScaler + SMOTE,neural_minmax,neural,One-hot + MinMaxScaler + SMOTE,2025,kfold,smote,onehot,minmax,none,0,none,smote,none
