threshold,precision,recall,f1
0.1,0.22466960352422907,0.9622641509433962,0.36428571428571427
0.15,0.25757575757575757,0.9622641509433962,0.4063745019920319
0.2,0.27717391304347827,0.9622641509433962,0.43037974683544306
0.25,0.3006134969325153,0.9245283018867925,0.4537037037037037
0.3,0.32432432432432434,0.9056603773584906,0.47761194029850745
0.35,0.32608695652173914,0.8490566037735849,0.4712041884816754
0.4,0.34375,0.8301886792452831,0.4861878453038674
0.45,0.37719298245614036,0.8113207547169812,0.5149700598802395
0.5,0.4056603773584906,0.8113207547169812,0.5408805031446541
0.55,0.4479166666666667,0.8113207547169812,0.5771812080536913
0.6,0.47126436781609193,0.7735849056603774,0.5857142857142857
0.65,0.4878048780487805,0.7547169811320755,0.5925925925925926
0.7,0.5285714285714286,0.6981132075471698,0.6016260162601627
0.75,0.578125,0.6981132075471698,0.6324786324786325
0.8,0.62,0.5849056603773585,0.6019417475728155
0.85,0.6341463414634146,0.49056603773584906,0.5531914893617021
0.9,0.7419354838709677,0.4339622641509434,0.5476190476190477
