threshold,precision,recall,f1
0.1,0.2146118721461187,0.8867924528301887,0.34558823529411764
0.15,0.23076923076923078,0.8490566037735849,0.3629032258064516
0.2,0.26627218934911245,0.8490566037735849,0.40540540540540543
0.25,0.29333333333333333,0.8301886792452831,0.43349753694581283
0.3,0.3157894736842105,0.7924528301886793,0.45161290322580644
0.35,0.3391304347826087,0.7358490566037735,0.4642857142857143
0.4,0.36792452830188677,0.7358490566037735,0.49056603773584906
0.45,0.3939393939393939,0.7358490566037735,0.5131578947368421
0.5,0.43902439024390244,0.6792452830188679,0.5333333333333333
0.55,0.4594594594594595,0.6415094339622641,0.5354330708661418
0.6,0.4788732394366197,0.6415094339622641,0.5483870967741935
0.65,0.515625,0.6226415094339622,0.5641025641025641
0.7,0.5789473684210527,0.6226415094339622,0.6
0.75,0.6274509803921569,0.6037735849056604,0.6153846153846154
0.8,0.7073170731707317,0.5471698113207547,0.6170212765957447
0.85,0.7428571428571429,0.49056603773584906,0.5909090909090909
0.9,0.8,0.37735849056603776,0.5128205128205128
