threshold,precision,recall,f1
0.1,0.26875,0.8113207547169812,0.40375586854460094
0.15,0.2916666666666667,0.7924528301886793,0.4263959390862944
0.2,0.31746031746031744,0.7547169811320755,0.44692737430167595
0.25,0.336283185840708,0.7169811320754716,0.4578313253012048
0.3,0.37623762376237624,0.7169811320754716,0.4935064935064935
0.35,0.42045454545454547,0.6981132075471698,0.524822695035461
0.4,0.43209876543209874,0.660377358490566,0.5223880597014925
0.45,0.44,0.6226415094339622,0.515625
0.5,0.4305555555555556,0.5849056603773585,0.496
0.55,0.4696969696969697,0.5849056603773585,0.5210084033613446
0.6,0.5084745762711864,0.5660377358490566,0.5357142857142857
0.65,0.5357142857142857,0.5660377358490566,0.5504587155963303
0.7,0.5370370370370371,0.5471698113207547,0.5420560747663551
0.75,0.574468085106383,0.5094339622641509,0.54
0.8,0.5609756097560976,0.4339622641509434,0.48936170212765956
0.85,0.6,0.39622641509433965,0.4772727272727273
0.9,0.7037037037037037,0.3584905660377358,0.475
