seed,fold,auc
42,0,0.6415444015444015
42,1,0.80015444015444
42,2,0.733695652173913
42,3,0.7878925120772947
42,4,0.8115942028985508
2025,0,0.7246332046332047
2025,1,0.7187644787644789
2025,2,0.6447765700483092
2025,3,0.6983695652173914
2025,4,0.7940821256038648
