threshold,precision,recall,f1
0.1,0.2471264367816092,0.8113207547169812,0.3788546255506608
0.15,0.27450980392156865,0.7924528301886793,0.4077669902912621
0.2,0.2971014492753623,0.7735849056603774,0.4293193717277487
0.25,0.34782608695652173,0.7547169811320755,0.47619047619047616
0.3,0.38095238095238093,0.7547169811320755,0.5063291139240507
0.35,0.42105263157894735,0.7547169811320755,0.5405405405405406
0.4,0.43529411764705883,0.6981132075471698,0.5362318840579711
0.45,0.45569620253164556,0.6792452830188679,0.5454545454545454
0.5,0.4533333333333333,0.6415094339622641,0.53125
0.55,0.463768115942029,0.6037735849056604,0.5245901639344263
0.6,0.45901639344262296,0.5283018867924528,0.49122807017543857
0.65,0.509090909090909,0.5283018867924528,0.5185185185185185
0.7,0.5,0.49056603773584906,0.49523809523809526
0.75,0.5454545454545454,0.4528301886792453,0.4948453608247423
0.8,0.5853658536585366,0.4528301886792453,0.5106382978723404
0.85,0.6363636363636364,0.39622641509433965,0.4883720930232558
0.9,0.6666666666666666,0.37735849056603776,0.4819277108433735
