threshold,precision,recall,f1
0.1,0.24528301886792453,0.7358490566037735,0.36792452830188677
0.15,0.2483221476510067,0.6981132075471698,0.36633663366336633
0.2,0.2605633802816901,0.6981132075471698,0.37948717948717947
0.25,0.26277372262773724,0.6792452830188679,0.37894736842105264
0.3,0.26666666666666666,0.6792452830188679,0.3829787234042553
0.35,0.27692307692307694,0.6792452830188679,0.39344262295081966
0.4,0.28346456692913385,0.6792452830188679,0.4
0.45,0.2903225806451613,0.6792452830188679,0.4067796610169492
0.5,0.29411764705882354,0.660377358490566,0.4069767441860465
0.55,0.3017241379310345,0.660377358490566,0.41420118343195267
0.6,0.3008849557522124,0.6415094339622641,0.40963855421686746
0.65,0.3177570093457944,0.6415094339622641,0.425
0.7,0.3269230769230769,0.6415094339622641,0.43312101910828027
0.75,0.33,0.6226415094339622,0.43137254901960786
0.8,0.336734693877551,0.6226415094339622,0.4370860927152318
0.85,0.3473684210526316,0.6226415094339622,0.44594594594594594
0.9,0.34782608695652173,0.6037735849056604,0.4413793103448276
