threshold,precision,recall,f1
0.1,0.234375,0.8490566037735849,0.3673469387755102
0.15,0.2634730538922156,0.8301886792452831,0.4
0.2,0.2802547770700637,0.8301886792452831,0.41904761904761906
0.25,0.2953020134228188,0.8301886792452831,0.43564356435643564
0.3,0.30434782608695654,0.7924528301886793,0.4397905759162304
0.35,0.3203125,0.7735849056603774,0.4530386740331492
0.4,0.3305785123966942,0.7547169811320755,0.45977011494252873
0.45,0.3333333333333333,0.7358490566037735,0.4588235294117647
0.5,0.34545454545454546,0.7169811320754716,0.4662576687116564
0.55,0.3584905660377358,0.7169811320754716,0.4779874213836478
0.6,0.36633663366336633,0.6981132075471698,0.4805194805194805
0.65,0.3804347826086957,0.660377358490566,0.4827586206896552
0.7,0.39080459770114945,0.6415094339622641,0.4857142857142857
0.75,0.4,0.6037735849056604,0.48120300751879697
0.8,0.41333333333333333,0.5849056603773585,0.484375
0.85,0.4305555555555556,0.5849056603773585,0.496
0.9,0.45161290322580644,0.5283018867924528,0.48695652173913045
