threshold,precision,recall,f1
0.1,0.16720257234726688,0.9811320754716981,0.2857142857142857
0.15,0.18181818181818182,0.9811320754716981,0.30678466076696165
0.2,0.19157088122605365,0.9433962264150944,0.3184713375796178
0.25,0.21551724137931033,0.9433962264150944,0.3508771929824561
0.3,0.2358490566037736,0.9433962264150944,0.37735849056603776
0.35,0.25380710659898476,0.9433962264150944,0.4
0.4,0.26256983240223464,0.8867924528301887,0.4051724137931034
0.45,0.2822085889570552,0.8679245283018868,0.42592592592592593
0.5,0.28378378378378377,0.7924528301886793,0.417910447761194
0.55,0.2962962962962963,0.7547169811320755,0.425531914893617
0.6,0.319672131147541,0.7358490566037735,0.44571428571428573
0.65,0.3482142857142857,0.7358490566037735,0.4727272727272727
0.7,0.33663366336633666,0.6415094339622641,0.44155844155844154
0.75,0.34375,0.6226415094339622,0.4429530201342282
0.8,0.35294117647058826,0.5660377358490566,0.43478260869565216
0.85,0.417910447761194,0.5283018867924528,0.4666666666666667
0.9,0.42592592592592593,0.4339622641509434,0.42990654205607476
