seed,fold,auc
42,0,0.7576833976833978
42,1,0.8560617760617761
42,2,0.7764190821256038
42,3,0.7845712560386473
42,4,0.7746074879227053
1337,0,0.8446332046332047
1337,1,0.7428571428571428
1337,2,0.7430555555555556
1337,3,0.7539251207729469
1337,4,0.8274456521739131
2024,0,0.7410038610038611
2024,1,0.8369111969111969
2024,2,0.7967995169082126
2024,3,0.7779287439613527
2024,4,0.7477355072463768
