seed,fold,auc
42,0,0.7218532818532819
42,1,0.7711196911196911
42,2,0.7128623188405798
42,3,0.7458484299516909
42,4,0.6351147342995169
2025,0,0.8208494208494209
2025,1,0.7076447876447877
2025,2,0.702596618357488
2025,3,0.6924818840579711
2025,4,0.7444142512077294
