threshold,precision,recall,f1
0.1,0.20920502092050208,0.9433962264150944,0.3424657534246575
0.15,0.2168141592920354,0.9245283018867925,0.35125448028673834
0.2,0.22857142857142856,0.9056603773584906,0.3650190114068441
0.25,0.24,0.9056603773584906,0.3794466403162055
0.3,0.24736842105263157,0.8867924528301887,0.3868312757201646
0.35,0.25824175824175827,0.8867924528301887,0.4
0.4,0.27485380116959063,0.8867924528301887,0.41964285714285715
0.45,0.281437125748503,0.8867924528301887,0.42727272727272725
0.5,0.2830188679245283,0.8490566037735849,0.42452830188679247
0.55,0.29411764705882354,0.8490566037735849,0.4368932038834951
0.6,0.2972972972972973,0.8301886792452831,0.43781094527363185
0.65,0.3028169014084507,0.8113207547169812,0.441025641025641
0.7,0.3161764705882353,0.8113207547169812,0.455026455026455
0.75,0.3333333333333333,0.8113207547169812,0.4725274725274725
0.8,0.35344827586206895,0.7735849056603774,0.48520710059171596
0.85,0.38461538461538464,0.7547169811320755,0.5095541401273885
0.9,0.43902439024390244,0.6792452830188679,0.5333333333333333
