timestamp,exp_name,model,cv_auc_mean,cv_auc_std,test_auc,features_count,hyperparams,notes,feature_pipeline,family,feature_description,random_seed,cv_mode,sampler_summary,encoder,scaler,manual_features,poly_added,selector,basic_sampler,advanced_sampler
2025-11-07 15:25:20,seed2025_neural_raw_MLP_v1,MLP,0.8121140674836328,0.017261994495689124,0.8763738009021028,48,"{'random_state': 2025, 'hidden_layer_sizes': (512,), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1500, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler (no sampling),neural_raw,neural,One-hot + StandardScaler (no sampling),2025,kfold,none,onehot,standard,none,0,none,none,none
2025-11-07 14:46:39,seed42_neural_raw_MLP_v4,MLP,0.7947816994012646,0.028100872738051088,0.8726891557080235,48,"{'random_state': 42, 'hidden_layer_sizes': (256, 128), 'alpha': 0.0002, 'learning_rate_init': 0.0008, 'max_iter': 1700, 'early_stopping': True, 'n_iter_no_change': 25}",One-hot + StandardScaler (no sampling),neural_raw,neural,One-hot + StandardScaler (no sampling),42,kfold,none,onehot,standard,none,0,none,none,none
2025-11-07 14:46:50,seed42_neural_raw_MLP_v6,MLP,0.8052653227761924,0.01306854300042648,0.8707833047455689,48,"{'random_state': 42, 'hidden_layer_sizes': (256, 128, 64), 'alpha': 0.00015, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler (no sampling),neural_raw,neural,One-hot + StandardScaler (no sampling),42,kfold,none,onehot,standard,none,0,none,none,none
2025-11-07 14:37:36,seed42_tree_target_LGB_v4,LGB,0.7961424188163319,0.05549868233079346,0.869576265802681,27,"{'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1700, 'learning_rate': 0.025, 'num_leaves': 120, 'subsample': 0.8, 'colsample_bytree': 0.85, 'reg_lambda': 0.8}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,42,kfold,none,target,none,none,0,none,none,none
2025-11-07 14:45:24,seed42_neural_standard_MLP_v6,MLP,0.7763978839087535,0.01982846476260962,0.8695127374372659,48,"{'random_state': 42, 'hidden_layer_sizes': (256, 128, 64), 'alpha': 0.00015, 'learning_rate_init': 0.0005, 'max_iter': 1800, 'early_stopping': True, 'n_iter_no_change': 30}",One-hot + StandardScaler + SMOTE,neural_standard,neural,One-hot + StandardScaler + SMOTE,42,kfold,smote,onehot,standard,none,0,none,smote,none
2025-11-07 14:37:27,seed42_tree_target_LGB_v3,LGB,0.7948163178706656,0.05059624069530435,0.867988056667302,27,"{'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1500, 'learning_rate': 0.03, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_lambda': 0.5}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,42,kfold,none,target,none,none,0,none,none,none
2025-11-07 15:16:43,seed2025_tree_target_LGB_v3,LGB,0.7974549409658105,0.05308230583950734,0.8673527730131504,27,"{'random_state': 2025, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1500, 'learning_rate': 0.03, 'num_leaves': 96, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_lambda': 0.5}",Target encoding on categoricals,tree_target,tree,Target encoding on categoricals,2025,kfold,none,target,none,none,0,none,none,none
2025-11-07 15:21:13,seed2025_tree_onehot_LGB_v1,LGB,0.7974764795851753,0.04403088384468336,0.8657010355123562,48,"{'random_state': 2025, 'n_jobs': -1, 'verbosity': -1, 'n_estimators': 1000, 'learning_rate': 0.05, 'num_leaves': 64, 'subsample': 0.9, 'colsample_bytree': 0.8, 'reg_lambda': 0.0}",One-hot encoding without scaling,tree_onehot,tree,One-hot encoding without scaling,2025,kfold,none,onehot,none,none,0,none,none,none
2025-11-07 15:20:06,seed2025_tree_onehot_HGB_v3,HGB,0.7888426034730383,0.04932497764966113,0.8653833936852805,48,"{'random_state': 2025, 'learning_rate': 0.03, 'max_depth': 10, 'max_iter': 900, 'l2_regularization': 0.05}",One-hot encoding without scaling,tree_onehot,tree,One-hot encoding without scaling,2025,kfold,none,onehot,none,none,0,none,none,none
2025-11-07 14:41:13,seed42_tree_onehot_HGB_v3,HGB,0.7888426034730383,0.04932497764966113,0.8653833936852805,48,"{'random_state': 42, 'learning_rate': 0.03, 'max_depth': 10, 'max_iter': 900, 'l2_regularization': 0.05}",One-hot encoding without scaling,tree_onehot,tree,One-hot encoding without scaling,42,kfold,none,onehot,none,none,0,none,none,none
